	cocktail	cluster	x	y
829	Midnight Express	1	27.562013626098633	-5.236234188079834
830	London Special Cocktail	9	-26.978755950927734	23.55986976623535
831	Mary Pickford Cocktail	6	10.25198745727539	23.16851806640625
832	Charles Cocktail	9	-28.684799194335938	25.592479705810547
833	Martinique Rose	8	-13.74349308013916	33.82182693481445
834	Mariposa	4	-11.2703218460083	-24.859594345092773
835	Mandeville	2	21.2166690826416	-8.189669609069824
836	K.C.B. Cocktail	4	-17.02463150024414	-21.06810760498047
837	Malmaison	2	20.313661575317383	-8.220630645751953
838	Mai-Tai (Trader Vic Version)	6	11.406174659729004	21.81781005859375
839	Jersey Lightning Cocktail	4	-11.10889720916748	-20.79002571105957
840	Lumination	2	23.267271041870117	-9.2001953125
841	Jamaica Glow Cocktail	7	-5.3567047119140625	25.520936965942383
842	Lounge Lizard	1	30.097755432128906	-7.310561656951904
843	Jack-in-the-Box Cocktail	6	7.3187642097473145	23.106346130371094
844	Irish Whisky Cocktail	9	-28.657590866088867	20.903409957885742
845	Look Out Below	1	30.336294174194336	-3.4603281021118164
846	Little Princess Cocktail	1	30.511369705200195	-6.674205780029297
847	Little Devil Cocktail	5	-24.993324279785156	-8.861245155334473
848	Champs Elysees Cocktail	4	-14.880369186401367	-23.7668514251709
849	Hop Toad Cocktail 	1	32.25274658203125	-2.646385431289673
850	Level headed Cocktail	9	-28.940696716308594	23.290895462036133
851	La Vita Dulce	1	28.275772094726562	-4.982163429260254
852	Hole-in-One Cocktail	9	-25.792844772338867	24.091800689697266
853	Ko Adang	1	28.896183013916016	-1.9077152013778687
854	Knickerbocker Special Cocktail	6	9.144830703735352	22.71799659729004
855	Hair Raiser Cocktail	2	17.73118782043457	-14.309599876403809
856	Green Opal Cocktail	7	-4.991652488708496	29.124582290649414
857	Jamaican Ginger	1	28.821407318115234	-2.4247279167175293
858	Green Dragon Cocktail	0	40.461971282958984	-5.821417808532715
859	Grasshopper Cocktail	0	38.406864166259766	-6.943831920623779
860	Jamaican Crawler	6	9.710609436035156	23.524824142456055
861	Golden Slipper Cocktail	4	-15.159867286682129	-18.789749145507812
862	Jade	1	33.641502380371094	-4.4559326171875
863	Jacqueline	1	28.955825805664062	-4.907132625579834
864	Jack Sparrow Flip	1	27.262622833251953	-6.886302947998047
865	Irresistible	2	19.902311325073242	-9.009593963623047
866	Carroll Cocktail	4	-12.82901382446289	-20.303606033325195
867	Hush and Wonder	1	26.680538177490234	-2.785066604614258
868	Hurricane Leah	2	23.63644027709961	-14.497371673583984
869	Gimlet Cocktail	5	-19.96087074279785	-6.61287260055542
870	Hurricane	1	25.453960418701172	-4.782125473022461
871	Hop Toad	1	32.2528076171875	-2.6464900970458984
872	The Holy Roller	8	-15.821295738220215	27.210756301879883
873	Hemingway's Nog	1	27.137176513671875	-6.991379261016846
874	Flying Scotchman Cocktail	9	-28.472076416015625	26.2174015045166
875	Flying Grasshopper Cocktail	0	38.19102478027344	-7.441993236541748
876	Havana Cocktail	6	9.028172492980957	22.77888298034668
877	Harvest Nectar	6	9.44117546081543	22.245065689086914
878	Fancy Brandy Cocktail	4	-13.837152481079102	-17.464876174926758
879	Fallen Angel Cocktail	0	40.03622817993164	-6.490952491760254
880	The Poncho	9	-27.664039611816406	27.231496810913086
881	Hai Karate	6	8.847325325012207	21.74909782409668
882	Cara Sposa	4	-8.362263679504395	-20.060401916503906
883	Traditional Martini (Dry)	7	-1.9443103075027466	23.646921157836914
884	Pina Agave	6	7.674520492553711	21.14902687072754
885	Grande Guignol	1	30.73862648010254	-2.2467715740203857
886	Pancho Villa	9	-26.250886917114258	27.487728118896484
887	Paloma (Natural)	3	6.862590789794922	-11.3225736618042
888	Golden Friendship	1	30.384960174560547	-7.972789287567139
889	Paloma	8	-14.62748908996582	33.118812561035156
890	Pacific Sunshine	9	-22.60807228088379	22.252172470092773
891	Golden Eclipse	9	-24.628549575805664	23.58953857421875
892	Diplomat Cocktail	9	-27.745595932006836	26.308164596557617
893	Oldest Temptation	9	-22.915918350219727	21.709383010864258
894	Ginger Grapefruit Rickey	1	27.51906394958496	-2.1760001182556152
895	Calvados Cocktail	9	-27.43617820739746	22.370033264160156
896	Daiquiri Cocktail	1	29.40030860900879	-3.544579267501831
897	The Oaxaca Old-Fashioned	9	-22.92136001586914	26.262224197387695
898	Cuban Special Cocktail	6	8.883949279785156	22.092750549316406
899	Gaugin	1	25.209522247314453	-4.240805625915527
900	The Nomad South	8	-16.76913070678711	28.075708389282227
901	Creole Lady Cocktail	3	1.3765908479690552	-17.7918701171875
902	No. 8	9	-23.17701530456543	23.958980560302734
903	Fog Cutter	4	-16.755966186523438	-24.139768600463867
904	Mexicola	8	-15.718811988830566	30.071943283081055
905	Floridita No. 3	1	26.725378036499023	-2.7805042266845703
906	Mexican Monk	2	14.866904258728027	-11.67910099029541
907	Floridita No. 1	1	30.939167022705078	-3.5161523818969727
908	Mexican Madras	8	-15.77025318145752	28.927162170410156
909	Cadiz	4	-8.590653419494629	-19.75337791442871
910	Chocolate Soldier Cocktail	7	-4.17817497253418	31.410240173339844
911	Fireman's Sour	1	25.838165283203125	-5.3950300216674805
912	Fat Like Buddha	1	31.756282806396484	-5.9852776527404785
913	Cherry Blossom Cocktail	4	-12.806008338928223	-25.080799102783203
914	Fair-and-Warmer Cocktail	1	31.098859786987305	-6.241946220397949
915	Chelsea Sidecar Cocktail	5	-24.680496215820312	-8.836431503295898
916	Mexican Firing Squad	8	-15.471136093139648	31.779985427856445
917	Mexicana	6	7.929868221282959	22.178613662719727
918	El Presidente Cocktail No. 2	9	-27.795326232910156	25.27492332458496
919	Margarita Tequila	8	-17.59969711303711	30.285890579223633
920	Lillypad	8	-17.058786392211914	27.843162536621094
921	X. Y. Z. Cocktail	2	19.968708038330078	-7.471451282501221
922	La Ultima Palabra	8	-14.637380599975586	33.533058166503906
923	La Perla	3	1.3644440174102783	-13.971212387084961
924	Bull's Milk	1	28.1137752532959	-6.7473530769348145
925	La Bomba	6	6.825117588043213	21.0446834564209
926	Jinx Cocktail	3	6.9769415855407715	-11.699128150939941
927	The Interesting Cocktail	2	10.793540000915527	-10.127089500427246
928	Hot Pants	8	-15.738703727722168	33.36397933959961
929	High Plains Drifter No. 1	8	-16.08322525024414	27.922815322875977
930	Hairy Sunrise	8	-15.134407997131348	28.455692291259766
931	Guadalajara	7	1.5435012578964233	29.038164138793945
932	Frostbite	3	3.759533643722534	-16.855587005615234
933	Flower Power	9	-22.97398567199707	27.244749069213867
934	Cablegram Highball	2	17.474693298339844	-11.383405685424805
935	Cabaret Cocktail	7	-2.956188917160034	24.9915828704834
936	Bulla's Eye	4	-12.513030052185059	-18.208072662353516
937	El Oso (The Bear)	9	-23.325389862060547	24.5235595703125
938	El Ni_o	8	-15.997869491577148	31.63501739501953
939	El Molino	3	-0.4798513650894165	-13.483003616333008
940	Bucks Fizz	3	5.155040740966797	-14.76669979095459
941	Dirty Daisy	8	-16.092144012451172	30.212947845458984
942	Diablo	8	-15.80126953125	29.81158447265625
943	Count Camillo's Paloma	3	7.095285892486572	-10.946084022521973
944	Company B	2	15.538795471191406	-10.582439422607422
945	Chupa Cabra	8	-14.895919799804688	32.89687728881836
946	Chinchona	9	-23.331016540527344	25.27174949645996
947	Chapala	2	14.227231979370117	-10.158926010131836
948	Bulldog Cocktail	4	-15.170988082885742	-21.632312774658203
949	Boston Sidecar Cocktail	1	32.04566955566406	-3.7754414081573486
950	Catalina Margarita	2	20.04627227783203	-11.903223991394043
951	Camino Del Ray	9	-22.85487937927246	23.529590606689453
952	Cactus Berry	8	-18.254154205322266	30.142311096191406
953	Bolero Cocktail	4	-10.609603881835938	-21.204416275024414
954	Bum's Rush	8	-17.735143661499023	28.839628219604492
955	Brave Bull	2	14.975152015686035	-11.642630577087402
956	Blue Margarita	8	-16.49740219116211	30.61578369140625
957	Bloody Maria	2	13.931007385253906	-12.764691352844238
958	Pineapple Dream Cocktail	6	8.975044250488281	22.21734046936035
959	Big Red Hooter	6	11.165055274963379	23.657211303710938
960	Blood Bronx Cocktail	7	-0.6975722312927246	24.870058059692383
961	Bravo	9	-22.996553421020508	27.191102981567383
962	Amante Picante	8	-16.86021614074707	32.770084381103516
963	Brunswick Street Cocktail	3	1.857210397720337	-13.525458335876465
964	Black Hawk Cocktail	7	-4.561874866485596	28.625953674316406
965	Alamo Splash	6	7.727953910827637	21.514484405517578
966	Betsy Ross Cocktail	4	-13.506860733032227	-19.03708267211914
967	Bermuda Rose Cocktail	4	-17.355993270874023	-19.048843383789062
968	Yokahama Romance	7	-4.368642807006836	29.786680221557617
969	Yale Cocktail	7	-3.5666792392730713	24.257373809814453
970	Xanthia Cocktail	4	-14.49923038482666	-20.322956085205078
971	Woodstock	9	-25.70413589477539	22.88075828552246
972	Wolf's Bite	7	-6.440890789031982	31.00004005432129
973	Barbary Coast Cocktail	7	-5.974193096160889	28.55559730529785
974	The Winkle	2	22.857357025146484	-12.74351978302002
975	The Wink	9	-28.872211456298828	21.745986938476562
976	Will Rogers	7	-1.429980993270874	25.180139541625977
977	Brandy Vermouth Cocktail	9	-28.690570831298828	25.592281341552734
978	White Spider	2	22.427736282348633	-12.109366416931152
979	White Lady	7	-4.85758113861084	27.30927848815918
980	Western Rose	4	-18.14937973022461	-21.35666847229004
981	May Blosson Fizz	2	15.133883476257324	-9.254866600036621
982	Wembly Cocktail	4	-18.56573486328125	-20.05592918395996
983	Apple Pie Cocktail	4	-10.259995460510254	-23.678478240966797
984	Water Lily	5	-24.951269149780273	-7.964614391326904
985	Wallis Blue Cocktail	5	-19.87319564819336	-6.7138800621032715
986	Minnehaha Cocktail	7	-0.6983868479728699	24.870622634887695
987	Wallick Cocktail	7	-3.232043743133545	26.9757137298584
988	Waikiki Beachcomber	6	6.071353912353516	22.93808364868164
989	Vow Of Silence	8	-11.3130521774292	33.50188446044922
